RocketLogger CSV File
File Version,3
Block Size,1
Block Count,74218               
Sample Count,74218               
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Wed May 20 22:40:09 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1590014409.059089133,1,14321,-38109,63909
1590014410.062589802,1,15013,34607,78874
1590014411.066156341,1,15171,-13444,70901
1590014412.069655226,1,13534,-31859,65749
1590014413.073175193,1,12967,-95053,51397
1590014414.076718125,1,14793,-39947,62314
1590014415.080241464,1,14856,-805,70287
1590014416.083759191,1,15706,5829,72741
1590014417.087325205,1,16367,-26170,65749
1590014418.090819610,1,13377,-100567,50293
1590014419.094366203,1,14006,-44568,60842
1590014420.097906387,1,12432,-31036,62927
1590014421.101419059,1,13219,21811,75194
1590014422.104961415,1,12086,-24489,65381
1590014423.108482860,1,13975,-93583,50170
1590014424.112024934,1,15045,-46581,59370
1590014425.115548385,1,12495,-33575,62437
1590014426.119072102,1,16650,25225,74826
1590014427.122643296,1,13754,-23929,64645
1590014428.126137270,1,11236,-93933,49434
1590014429.129683460,1,13156,-45006,59002
1590014430.133214084,1,13723,-29846,61823
1590014431.136760867,1,13125,18993,72250
1590014432.140277824,1,16367,-24192,63050
1590014433.143804727,1,15297,-99500,46490
1590014434.147344369,1,12967,-40629,58389
1590014435.150872070,1,14761,-9260,64890
1590014436.154407711,1,12873,4008,69919
1590014437.157921136,1,14038,-25662,62682
1590014438.161444567,1,12653,-94458,47962
1590014439.164985834,1,16335,-36270,59125
1590014440.168519637,1,13502,33802,74335
1590014441.172038876,1,14541,-12901,63786
1590014442.175586354,1,12716,-49154,57775
1590014443.179107161,1,12999,-55194,53114
1590014444.182657091,1,13125,-33820,58021
1590014445.186174158,1,16430,27500,71391
1590014446.189719063,1,13377,-22704,60597
1590014447.193264899,1,13093,-98414,44650
1590014448.196773093,1,14321,-38354,57407
1590014449.200309600,1,15769,5339,64890
1590014450.203838638,1,14195,-1487,64522
1590014451.207376128,1,14667,-26923,58879
1590014452.210890411,1,12243,-79859,47471
1590014453.214428898,1,13723,-34520,57039
1590014454.217969075,1,14415,38441,70901
1590014455.221488156,1,16524,-17242,59861
1590014456.225020794,1,13628,-73959,49311
1590014457.228559552,1,13345,-46616,53482
1590014458.232097509,1,13030,-31054,56917
