RocketLogger CSV File
File Version,3
Block Size,1
Block Count,639                 
Sample Count,639                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:58:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587769139.312845579,1,-192774,-25293912,-51174445
1587769140.316255068,1,-192869,-25240194,-50871298
1587769141.319672106,1,-194577,-25021153,-50581422
1587769142.323147814,1,-190529,-24776349,-50321407
1587769143.326565053,1,-188251,-24772143,-50113246
1587769144.330040235,1,-190149,-24767744,-49926836
1587769145.333486619,1,-188409,-24624837,-49742146
1587769146.336915132,1,-186006,-24516631,-49572202
1587769147.340388974,1,-185310,-24367431,-49406928
1587769148.343865133,1,-185721,-24367466,-49273602
1587769149.347263815,1,-185721,-24424128,-49155514
1587769150.350716554,1,-184171,-24255492,-49020590
1587769151.354177430,1,-181894,-24104085,-48892917
1587769152.357632687,1,-184203,-24108466,-48789206
1587769153.361086882,1,-178953,-24093324,-48685126
1587769154.364527884,1,-182590,-24099808,-48595914
1587769155.367973284,1,-177340,-23995616,-48496627
1587769156.371417625,1,-176928,-23833395,-48393284
1587769157.374874833,1,-177846,-23892282,-48320047
1587769158.378319469,1,-178162,-23946280,-48249391
1587769159.381758197,1,-177371,-23851201,-48170132
1587769160.385221275,1,-177023,-23788440,-48091243
1587769161.388668655,1,-173449,-23687946,-48011002
1587769162.392118727,1,-173260,-23720597,-47950790
1587769163.395557540,1,-176359,-23809840,-47901023
1587769164.399031994,1,-176739,-23676028,-47828524
1587769165.402460104,1,-172975,-23557114,-47757867
1587769166.405909973,1,-173101,-23581019,-47704046
1587769167.409368328,1,-171963,-23592166,-47654402
1587769168.412808476,1,-174113,-23620120,-47609796
1587769169.416257928,1,-174746,-23539798,-47552042
1587769170.419703917,1,-173260,-23402972,-47488881
1587769171.423147145,1,-173892,-23478457,-47451403
1587769172.426610037,1,-172342,-23568716,-47418225
1587769173.430060167,1,-173354,-23460633,-47367352
1587769174.433504199,1,-170761,-23390301,-47318937
1587769175.436940448,1,-170761,-23361681,-47273225
1587769176.440387493,1,-170603,-23382379,-47240048
1587769177.443855712,1,-172722,-23452203,-47213014
1587769178.447312353,1,-171393,-23353584,-47162633
1587769179.450757076,1,-169369,-23219649,-47115324
1587769180.454235967,1,-169053,-23302986,-47089764
1587769181.457629575,1,-168990,-23389898,-47070103
1587769182.461090066,1,-171109,-23303196,-47032379
1587769183.464552063,1,-168072,-23249672,-46994655
1587769184.467995141,1,-170982,-23202106,-46956193
1587769185.471433201,1,-168325,-23234354,-46931617
1587769186.474886960,1,-172880,-23326751,-46916994
1587769187.478331425,1,-171046,-23218580,-46877181
1587769188.481782667,1,-168673,-23087661,-46835770
1587769189.485225009,1,-170128,-23167369,-46816969
1587769190.488682311,1,-169622,-23239927,-46825939
1587769191.492133645,1,-173513,-23186771,-46766219
1587769192.495578277,1,-168294,-23148669,-46742503
1587769193.499023845,1,-170192,-23048420,-46706008
1587769194.502477191,1,-171172,-23118068,-46691508
1587769195.505928985,1,-171741,-23228675,-46685118
1587769196.509382063,1,-170033,-23114931,-46653415
1587769197.512821992,1,-168262,-23039359,-46623678
1587769198.516268663,1,-169749,-23042531,-46600699
1587769199.519704787,1,-169338,-23068978,-46584110
1587769200.523171970,1,-171330,-23157572,-46578826
1587769201.526623294,1,-170982,-23059917,-46549458
1587769202.530061201,1,-166523,-22940687,-46518123
1587769203.533508810,1,-171552,-23008338,-46506204
1587769204.536970647,1,-169780,-23032348,-46490843
1587769205.540413472,1,-169970,-23094023,-46483962
1587769206.543874087,1,-168768,-23015576,-46458649
1587769207.547308178,1,-166428,-22893665,-46429034
1587769208.550754321,1,-167630,-22967870,-46419818
1587769209.554215164,1,-168072,-22990899,-46407530
1587769210.557675895,1,-167819,-23063597,-46404581
1587769211.561084078,1,-166934,-22978298,-46380005
1587769212.564541801,1,-168136,-22871196,-46355429
1587769213.567999498,1,-168452,-22922986,-46345353
1587769214.571416684,1,-166111,-22946471,-46333802
1587769215.574876726,1,-169211,-23055220,-46335276
1587769216.578344086,1,-168610,-22948469,-46311560
1587769217.581803723,1,-167756,-22891579,-46293128
1587769218.585241055,1,-167661,-22867989,-46276416
