RocketLogger CSV File
File Version,3
Block Size,1
Block Count,690                 
Sample Count,690                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Sat Apr 25 00:29:48 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587774588.196921329,1,52028,-1931512,-77299640
1587774589.200325122,1,49941,-1956855,-77299025
1587774590.203782851,1,51459,-1993256,-77303941
1587774591.207219194,1,50510,-2019773,-77309347
1587774592.210676811,1,50700,-1986403,-77303941
1587774593.214111226,1,49245,-1917438,-77293987
1587774594.217590640,1,52566,-1976869,-77302589
1587774595.221029371,1,49498,-2068075,-77314386
1587774596.224489821,1,49941,-1990154,-77306153
1587774597.227898914,1,52091,-1900035,-77298657
1587774598.231370926,1,51807,-1968562,-77308242
1587774599.234802555,1,50668,-2042487,-77313771
1587774600.238243179,1,49466,-2000126,-77310576
1587774601.241696320,1,50510,-1965723,-77315737
1587774602.245146496,1,50257,-1945620,-77301852
1587774603.248611519,1,49688,-1979849,-77309593
1587774604.252035136,1,49846,-2044643,-77322864
1587774605.255491946,1,51016,-1988366,-77318441
1587774606.258942151,1,52091,-1900351,-77308610
1587774607.262388411,1,50194,-1974538,-77318686
1587774608.265849435,1,50573,-2066024,-77331958
1587774609.269277135,1,50478,-1994886,-77327657
1587774610.272734533,1,51649,-1933878,-77320775
1587774611.276189669,1,52850,-1956592,-77322741
1587774612.279624795,1,49245,-1991293,-77329500
1587774613.283091177,1,49245,-2024400,-77340191
1587774614.286542438,1,52692,-1987893,-77334784
1587774615.289977247,1,51364,-1910358,-77327411
1587774616.293430064,1,50605,-1976501,-77336381
1587774617.296883745,1,49371,-2070388,-77350635
1587774618.300332130,1,47822,-1992888,-77345106
1587774619.303771261,1,51743,-1915686,-77337733
1587774620.307182238,1,50036,-1962498,-77344491
1587774621.310685235,1,50415,-2007575,-77351004
1587774622.314134562,1,49529,-2014147,-77357763
1587774623.317585354,1,48581,-1986807,-77355059
1587774624.321029620,1,50162,-1920523,-77348915
1587774625.324430823,1,52218,-1977868,-77357271
1587774626.327913997,1,49118,-2070599,-77372631
1587774627.331375976,1,50795,-1992432,-77365750
1587774628.334800094,1,51649,-1916843,-77359114
1587774629.338268164,1,51111,-1961008,-77365135
1587774630.341739366,1,51111,-1993957,-77372508
1587774631.345173243,1,50036,-2031305,-77379390
1587774632.348615896,1,53483,-1989979,-77377423
1587774633.352068099,1,53736,-1901910,-77369190
1587774634.355520780,1,52977,-1974941,-77379267
1587774635.358955471,1,46208,-2054878,-77390940
1587774636.362431202,1,49150,-2002773,-77390449
1587774637.365877400,1,51206,-1978710,-77388237
1587774638.369305775,1,51364,-1933089,-77384059
1587774639.372757493,1,53198,-1979376,-77392784
1587774640.376162967,1,48612,-2071493,-77407283
1587774641.379653128,1,52503,-1993729,-77400034
1587774642.383107652,1,50036,-1920365,-77394258
1587774643.386543796,1,50478,-1960114,-77399296
1587774644.390020471,1,52882,-1989576,-77406669
1587774645.393429717,1,49941,-2039893,-77417605
1587774646.396891320,1,50257,-1991065,-77412690
1587774647.400349747,1,53325,-1899649,-77403843
1587774648.403792196,1,50257,-1973259,-77413919
1587774649.407244267,1,48644,-2036423,-77422644
1587774650.410689860,1,49656,-2011168,-77425593
1587774651.414138637,1,54622,-1989260,-77425470
1587774652.417590080,1,52313,-1912338,-77417114
1587774653.421042177,1,52471,-1978079,-77427313
1587774654.424497889,1,49751,-2065376,-77441567
1587774655.427917709,1,52503,-2002440,-77436898
1587774656.431393798,1,52471,-1979235,-77435546
1587774657.434841274,1,51364,-1931021,-77431122
1587774658.438287716,1,52091,-1980129,-77440953
1587774659.441738144,1,48043,-2074209,-77454593
1587774660.445164353,1,50795,-1998391,-77449677
1587774661.448633582,1,52281,-1960570,-77445622
1587774662.452081671,1,49688,-1941694,-77444762
1587774663.455522390,1,51743,-1980918,-77452872
1587774664.458979261,1,49846,-2074402,-77467126
1587774665.462424505,1,50130,-1998146,-77461351
1587774666.465870234,1,52250,-1959343,-77458771
1587774667.469318675,1,51237,-1943097,-77457665
1587774668.472795974,1,53388,-1981409,-77464915
1587774669.476223596,1,46873,-2074156,-77478554
1587774670.479668294,1,51807,-1997007,-77474868
1587774671.483118754,1,51585,-1945620,-77470198
1587774672.486568708,1,52945,-1951597,-77470444
1587774673.490022531,1,53040,-1982811,-77477817
1587774674.493422924,1,51269,-2067707,-77490720
1587774675.496910160,1,53863,-1995202,-77486787
1587774676.500359516,1,51522,-1918069,-77476957
1587774677.503807915,1,51838,-1962498,-77484330
1587774678.507253769,1,53167,-1991065,-77490720
1587774679.510680227,1,51396,-2044993,-77500673
1587774680.514164745,1,54147,-1993572,-77496864
1587774681.517605097,1,51965,-1902086,-77487156
