RocketLogger CSV File
File Version,3
Block Size,1
Block Count,702                 
Sample Count,702                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:41:33 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587681693.366527763,1,-1187201,-124281448,-12562226
1587681694.369934468,1,-1185018,-124050367,-12538633
1587681695.373383917,1,-1183658,-123945596,-12516023
1587681696.376829904,1,-1182962,-123569329,-12485180
1587681697.380288461,1,-1177491,-123232146,-12455443
1587681698.383715219,1,-1177396,-122945664,-12426320
1587681699.387172873,1,-1171829,-122754403,-12404079
1587681700.390613943,1,-1174201,-122640904,-12385278
1587681701.394072544,1,-1168160,-122275328,-12354681
1587681702.397505994,1,-1166073,-121986989,-12327032
1587681703.400963641,1,-1161645,-121615086,-12297910
1587681704.404410574,1,-1158767,-121456352,-12276774
1587681705.407862161,1,-1157470,-121349548,-12256990
1587681706.411322320,1,-1155794,-121009946,-12229465
1587681707.414759069,1,-1150891,-120721484,-12203783
1587681708.418202480,1,-1146337,-120372944,-12174660
1587681709.421651634,1,-1145957,-120214526,-12154016
1587681710.425094815,1,-1149500,-120127000,-12136444
1587681711.428547644,1,-1140897,-119774113,-12107690
1587681712.432007469,1,-1139948,-119462237,-12079796
1587681713.435448091,1,-1138461,-119214138,-12055097
1587681714.438903480,1,-1136658,-119028169,-12032856
1587681715.442343909,1,-1133591,-118935719,-12017864
1587681716.445797774,1,-1131693,-118595871,-11989110
1587681717.449246307,1,-1128024,-118229506,-11960971
1587681718.452697340,1,-1128372,-118082690,-11943399
1587681719.456135678,1,-1126443,-117918068,-11920911
1587681720.459585071,1,-1122236,-117769219,-11903708
1587681721.463035703,1,-1120338,-117478269,-11879255
1587681722.466497497,1,-1116258,-117106243,-11850624
1587681723.469938019,1,-1114519,-117000263,-11833420
1587681724.473376209,1,-1118188,-116863437,-11815725
1587681725.476828332,1,-1114107,-116691121,-11796556
