RocketLogger CSV File
File Version,3
Block Size,1
Block Count,727                 
Sample Count,727                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:55:17 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587689717.471379099,1,44627,-1027693,-85468018
1587689718.474786467,1,46050,-974519,-85452535
1587689719.478234697,1,45102,-1034563,-85466543
1587689720.481679639,1,43394,-1114131,-85482026
1587689721.485134723,1,44754,-1078203,-85478709
1587689722.488575093,1,46999,-1049723,-85471827
1587689723.492018199,1,46493,-950806,-85458925
1587689724.495481508,1,41496,-1021331,-85463717
1587689725.498915897,1,47252,-1048181,-85469493
1587689726.502387331,1,43678,-1125155,-85491488
1587689727.505812092,1,43900,-1053526,-85475268
1587689728.509265386,1,45165,-991975,-85464209
1587689729.512717793,1,46114,-996146,-85461137
1587689730.516158194,1,44848,-1037174,-85470353
1587689731.519613211,1,44564,-1137844,-85489276
1587689732.523061873,1,43362,-1063551,-85479815
1587689733.526524337,1,43805,-1044150,-85476251
1587689734.529957577,1,48359,-960901,-85455607
1587689735.533401602,1,43235,-1032337,-85470599
1587689736.536859293,1,44975,-1099392,-85483624
1587689737.540296372,1,43805,-1083268,-85486327
1587689738.543744483,1,45481,-1050003,-85479323
1587689739.547204866,1,45671,-950438,-85459048
1587689740.550636925,1,46398,-1024713,-85468264
1587689741.554093986,1,44532,-1063148,-85479200
1587689742.557542737,1,45734,-1103633,-85491857
1587689743.560999632,1,44785,-1051108,-85481166
1587689744.564434423,1,45797,-952050,-85461137
1587689745.567899275,1,45987,-1022750,-85470967
1587689746.571341311,1,44659,-1064620,-85480552
1587689747.574785842,1,45418,-1098077,-85493946
1587689748.578241516,1,44848,-1050722,-85482641
1587689749.581682874,1,45355,-950788,-85461997
1587689750.585143029,1,46778,-1026203,-85476743
1587689751.588586232,1,45165,-1076503,-85482887
1587689752.592024031,1,45639,-1089420,-85492226
1587689753.595471217,1,46651,-1050109,-85483870
1587689754.598919431,1,47980,-951244,-85463594
1587689755.602369058,1,45829,-1029147,-85476374
1587689756.605833117,1,47347,-1093591,-85489399
1587689757.609245087,1,43235,-1079430,-85492840
1587689758.612721729,1,44627,-1049022,-85484484
1587689759.616161432,1,44943,-954521,-85464823
1587689760.619610161,1,46588,-1031566,-85477357
1587689761.623058342,1,45544,-1103651,-85490751
