RocketLogger CSV File
File Version,3
Block Size,1
Block Count,592
Sample Count,592
Sample Rate,1
MAC Address,b0:d5:cc:fb:39:78
Start Time,Tue Oct  1 00:18:04 2019
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1569889084.745204999,1,-279314,-25662357,49716451
1569889085.748576037,1,-258868,-26704770,39567389
1569889086.752057175,1,-164648,-17486888,39445979
1569889087.755556551,1,-127950,-13599902,39444631
1569889088.759037331,1,-151143,-16059860,39426989
1569889089.762531984,1,-170832,-17766204,39440098
1569889090.766017413,1,-235013,-24334722,39492044
1569889091.769521037,1,-159883,-16886746,39433360
1569889092.772991611,1,-88792,-9632858,39396361
1569889093.776487454,1,-162470,-17118662,39407877
1569889094.779977807,1,-173735,-18036650,39444386
1569889095.783465525,1,-194750,-20189087,39438506
1569889096.786963025,1,-161114,-16840661,39424907
1569889097.790434834,1,-216144,-22246443,37927926
1569889098.793934307,1,-188250,-19631559,37979504
1569889099.797403429,1,-224947,-23389020,38039412
1569889100.800911968,1,-175755,-18527408,37992980
1569889101.804393269,1,-173136,-18229195,37973378
1569889102.807877316,1,-108072,-11700470,37952306
1569889103.811595461,1,-178784,-18773067,37984894
1569889104.814866319,1,-248455,-25446867,38040515
1569889105.818358994,1,-171116,-17806662,37983179
1569889106.821847058,1,-170454,-17810677,37992367
1569889107.825331971,1,-119021,-12688733,37943607
1569889108.828831990,1,-178310,-18561538,37991265
1569889109.832342894,1,-249275,-25960448,38037085
1569889110.835842114,1,-169602,-17745765,37964435
1569889111.839298819,1,9245,56725,45785636
1569889112.842800175,1,-130191,-14046871,37212575
1569889113.846287173,1,-186073,-19533885,37232545
1569889114.849775552,1,-257889,-26882625,37290738
1569889115.853263251,1,-172757,-18314984,37249941
1569889116.856754937,1,-171842,-18232858,37211595
1569889117.860245340,1,-132116,-13979505,37219558
1569889118.863730944,1,-180014,-19075644,37233402
1569889119.867228090,1,-258300,-26890618,37312423
1569889120.870714193,1,-171432,-18125735,37250431
1569889121.874206301,1,-142781,-15221228,37234260
1569889122.877687203,1,-157580,-17000759,37223724
1569889123.881186642,1,-177869,-18810317,37249941
1569889124.884682110,1,-239809,-24928412,37308992
1569889125.888160003,1,-172094,-18254157,37225806
1569889126.891637715,1,-103023,-11393632,36762219
1569889127.895127990,1,-185473,-19497441,36791132
1569889128.898634425,1,-219520,-22690046,36815512
1569889129.902119903,1,-179762,-19077748,36785986
1569889130.905600843,1,-178153,-18640053,36789172
1569889131.909097959,1,-129875,-14156623,36751193
1569889132.912599482,1,-182318,-19212252,36787334
1569889133.916095783,1,-259309,-26768823,36853858
1569889134.919561637,1,-173420,-18471664,36780718
1569889135.923060004,1,-102771,-11122783,36747272
1569889136.926540630,1,-177332,-18902225,36779493
1569889137.930040848,1,-202323,-21126427,36793460
1569889138.933526495,1,-184621,-19404499,36821883
1569889139.937005518,1,-176827,-18510421,36796400
1569889140.940505139,1,-130948,-14232053,36543902
1569889141.943988479,1,-185663,-19639255,36576857
1569889142.947480121,1,-264106,-27324825,36640931
1569889143.950980081,1,-177238,-18617597,36570609
1569889144.954455346,1,-125363,-13328404,36565831
1569889145.957946377,1,-173925,-18372622,36568404
1569889146.961440869,1,-183801,-19447972,36579798
1569889147.964926752,1,-215670,-22632269,36595724
1569889148.968428631,1,-175944,-18567130,36585923
1569889149.971902223,1,-102865,-11337099,36530180
1569889150.975416031,1,-182507,-19319551,36583106
1569889151.978899638,1,-257195,-26660403,36638236
1569889152.982397558,1,-173641,-18394271,36579185
1569889153.985871969,1,-144832,-15507766,36594989
1569889154.989374405,1,-185158,-19519037,36448954
1569889155.992846313,1,-189165,-19736737,36456918
1569889156.996346095,1,-217911,-22664172,36506168
1569889157.999833795,1,-176007,-18749752,36462676
1569889159.003340845,1,-110091,-11843511,36428495
1569889160.006788199,1,-183328,-19360009,36457898
1569889161.010303392,1,-259309,-27124550,36534713
1569889162.013786682,1,-175534,-18494662,36457408
1569889163.017277265,1,-121671,-13023408,36421389
1569889164.020777791,1,-175849,-18645785,36449567
1569889165.024256122,1,-193456,-20219904,36455447
1569889166.027752479,1,-193709,-20258854,36468924
1569889167.031236452,1,-178184,-18642787,36463411
1569889168.034728484,1,-125773,-13543019,36431067
1569889169.038215266,1,-224442,-23108967,36325952
1569889170.041707435,1,-260698,-26954531,36402032
1569889171.045216311,1,-179162,-18793524,36342246
1569889172.048689529,1,-99142,-10695062,36305492
1569889173.052178011,1,-187808,-19535129,36328647
1569889174.055669378,1,-256091,-26514241,36410363
1569889175.059154896,1,-175912,-18538521,36340776
1569889176.062627463,1,-135744,-14495803,36322766
1569889177.066136628,1,-175344,-18489053,36332200
1569889178.069633296,1,-192857,-20073304,36351802
1569889179.073115169,1,-189796,-19863949,36375324
1569889180.076607381,1,-173988,-18721670,36327422
1569889181.080093086,1,-139846,-14686279,36319949
1569889182.083591263,1,-182413,-19247487,36332935
1569889183.087054837,1,-87972,-10030955,45434883
1569889184.090551120,1,-183170,-19253534,36218631
1569889185.094054910,1,-110091,-12066960,36178324
1569889186.097541133,1,-185631,-19526014,36220958
1569889187.101042838,1,-261329,-27086967,36297406
1569889188.104525535,1,-179036,-18703159,36211647
1569889189.108020902,1,-96965,-10644507,36174281
1569889190.111484320,1,-184116,-19451426,36217896
1569889191.115012248,1,-258584,-26823673,36271556
1569889192.118475770,1,-177553,-18574054,36216670
1569889193.121965350,1,-117096,-12697025,36190820
1569889194.125463419,1,-180298,-19018656,36208830
1569889195.128960426,1,-215481,-22645486,36215690
1569889196.132429718,1,-175786,-18585255,36229902
1569889197.135933552,1,-165720,-17761313,36206012
1569889198.139446895,1,-168655,-17955050,36142673
1569889199.142912420,1,-186798,-19678731,36165338
1569889200.146413054,1,-209076,-21862300,36173301
1569889201.149920990,1,-179510,-18841432,36162642
1569889202.153394508,1,-123691,-13279690,36132014
1569889203.156884997,1,-186231,-19439751,36162152
1569889204.160365889,1,-260067,-26984191,36232965
1569889205.163855954,1,-178121,-18607114,36156517
1569889206.167344051,1,-97911,-10812124,36127604
1569889207.170835490,1,-182255,-19231395,36164725
1569889208.174337033,1,-216806,-22711239,36192658
1569889209.177815569,1,-179699,-18918737,36165828
1569889210.181319625,1,-178247,-18686453,36159335
1569889211.184813622,1,-131548,-14083578,36131524
1569889212.188285188,1,-193235,-20265410,36138753
1569889213.191774130,1,-262749,-27327981,36214955
1569889214.195270757,1,-178689,-18690941,36143653
1569889215.198768077,1,-106273,-11564125,36142305
1569889216.202262636,1,-182129,-19090282,36131279
1569889217.205752449,1,-201692,-21200192,36176119
