RocketLogger CSV File
File Version,3
Block Size,1
Block Count,81524
Sample Count,81524
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Fri May 15 03:28:03 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1589513284.004954844,1,22599,335226,-770590
1589513285.008454147,1,23669,363409,-764088
1589513286.011988189,1,24173,467216,-757096
1589513287.015521580,1,23826,410201,-754520
1589513288.019053559,1,20994,312661,-752803
1589513289.022593949,1,21151,331147,-744462
1589513290.026132314,1,20710,357072,-739801
1589513291.029656256,1,22221,449185,-733667
1589513292.033196669,1,23449,394341,-730355
1589513293.036732052,1,25967,283060,-728638
1589513294.040271830,1,21466,325965,-723118
1589513295.043798502,1,20994,361816,-717721
1589513296.047341546,1,24330,429019,-711587
1589513297.050856964,1,24991,380494,-707907
1589513298.054398093,1,22725,265782,-704227
1589513299.057949303,1,22599,317966,-699934
1589513300.061473516,1,23071,366770,-693555
1589513301.064999798,1,21560,411444,-688158
1589513302.068543403,1,23543,367681,-684969
1589513303.072079217,1,21182,252023,-682270
1589513304.075617448,1,22032,309756,-678467
1589513305.079147454,1,23984,374648,-673315
1589513306.082671038,1,22221,394849,-669390
1589513307.086207615,1,22536,355357,-665955
1589513308.089751518,1,21434,244111,-663257
1589513309.093275312,1,21686,302141,-657614
1589513310.096801501,1,23858,393046,-650990
1589513311.100346969,1,21466,373860,-649395
1589513312.103879473,1,22158,331585,-645102
1589513313.107424686,1,20647,251533,-642158
1589513314.110957986,1,21057,296101,-636883
1589513315.114484912,1,25243,402516,-629769
1589513316.118021364,1,21592,349370,-628542
1589513317.121556561,1,20899,255559,-627929
1589513318.125104287,1,21718,270806,-625353
1589513319.128624230,1,21088,301090,-621305
1589513320.132144030,1,22190,385098,-616275
1589513321.135702858,1,24047,333790,-613577
1589513322.139230201,1,21120,218168,-612718
1589513323.142768931,1,23543,272277,-607566
1589513324.146291575,1,23228,336591,-600697
1589513325.149843435,1,23952,358455,-598489
1589513326.153361988,1,24047,319016,-595422
1589513327.156895704,1,20490,211813,-593092
1589513328.160447760,1,22693,268758,-589534
1589513329.163970571,1,20962,367400,-583524
1589513330.167511238,1,21875,335348,-581806
1589513331.171042346,1,22001,282762,-580580
1589513332.174566619,1,23669,227866,-576777
1589513333.178119421,1,22536,265782,-575428
1589513334.181630687,1,21560,371619,-569172
1589513335.185195869,1,23040,316110,-568313
1589513336.188726328,1,21781,212619,-567577
1589513337.192245071,1,20836,244618,-563774
1589513338.195778286,1,23417,288049,-560830
1589513339.199341062,1,22725,345116,-561076
1589513340.202839180,1,21308,302718,-560094
1589513341.206418261,1,23386,194326,-559726
1589513342.209918299,1,21686,251988,-555065
