RocketLogger CSV File
File Version,3
Block Size,1
Block Count,612                 
Sample Count,612                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 22:46:29 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587768389.233700858,1,-277760,-33623646,-33776736
1587768390.237117337,1,-273964,-33493533,-33618957
1587768391.240572391,1,-275799,-33391636,-33478873
1587768392.244016451,1,-273964,-33336482,-33360293
1587768393.247468798,1,-268619,-33154877,-33238272
1587768394.250885160,1,-269378,-32922937,-33119324
1587768395.254363082,1,-269188,-32935661,-33033676
1587768396.257805380,1,-269125,-32974376,-32960070
1587768397.261263097,1,-266816,-32799255,-32871227
1587768398.264721877,1,-266342,-32675434,-32790495
1587768399.268164612,1,-262451,-32598687,-32717749
1587768400.271626565,1,-263748,-32570382,-32656800
1587768401.275035001,1,-262040,-32598372,-32608877
1587768402.278505026,1,-262989,-32465436,-32542767
1587768403.281970248,1,-259763,-32317078,-32477763
1587768404.285395110,1,-260143,-32341650,-32436844
1587768405.288831488,1,-261313,-32358948,-32396785
1587768406.292319241,1,-260237,-32294873,-32352670
1587768407.295749037,1,-254766,-32230377,-32309785
1587768408.299176422,1,-254165,-32118192,-32260387
1587768409.302658741,1,-255588,-32142571,-32228315
1587768410.306089718,1,-258719,-32244573,-32245641
1587768411.309547405,1,-257011,-32113092,-32182726
1587768412.312993979,1,-254639,-32016611,-32127307
1587768413.316454768,1,-254449,-31978142,-32091672
1587768414.319886323,1,-252014,-31986782,-32070413
1587768415.323332199,1,-256094,-32050787,-32057265
1587768416.326795007,1,-252457,-31949048,-32024824
1587768417.330255142,1,-252995,-31842017,-31992998
1587768418.333701284,1,-253754,-31870602,-31975181
1587768419.337082958,1,-252995,-31881398,-31959206
1587768420.340587256,1,-255525,-31911175,-31945320
1587768421.344048797,1,-254102,-31844032,-31921850
1587768422.347486053,1,-252172,-31730200,-31892973
1587768423.350923605,1,-254418,-31786582,-31882897
1587768424.354413169,1,-256252,-31826611,-31875647
1587768425.357826717,1,-252583,-31804336,-31861884
1587768426.361286583,1,-252077,-31763149,-31841609
1587768427.364735152,1,-251698,-31663286,-31818262
1587768428.368185054,1,-252615,-31721981,-31812609
1587768429.371625024,1,-254576,-31808524,-31811135
1587768430.375074158,1,-253975,-31719860,-31792580
1587768431.378522870,1,-251888,-31648687,-31773164
1587768432.381969713,1,-253216,-31654576,-31764931
1587768433.385421919,1,-249547,-31675414,-31757559
1587768434.388845548,1,-255683,-31708854,-31753626
1587768435.392314581,1,-250591,-31658081,-31739987
1587768436.395764257,1,-251540,-31564719,-31722292
1587768437.399214105,1,-251698,-31627147,-31721677
1587768438.402666984,1,-252868,-31718213,-31725118
1587768439.406109756,1,-253437,-31632861,-31710741
1587768440.409560390,1,-252552,-31559164,-31696241
1587768441.413006901,1,-250148,-31578372,-31691203
1587768442.416463104,1,-250717,-31604083,-31690466
1587768443.419909480,1,-252394,-31652210,-31691940
1587768444.423355182,1,-251571,-31598387,-31681250
1587768445.426809460,1,-251413,-31498664,-31664046
1587768446.430268522,1,-250654,-31570538,-31668593
1587768447.433707354,1,-251635,-31656609,-31675229
1587768448.437156877,1,-253248,-31591762,-31666135
1587768449.440609556,1,-251318,-31557972,-31659377
1587768450.444050004,1,-250369,-31519239,-31650284
1587768451.447505749,1,-250085,-31557411,-31653110
1587768452.450947898,1,-253311,-31650159,-31662449
1587768453.454394254,1,-250939,-31568312,-31651267
1587768454.457860760,1,-250148,-31491408,-31643894
1587768455.461300256,1,-251793,-31526057,-31639224
1587768456.464744442,1,-249863,-31555150,-31642419
1587768457.468210785,1,-249231,-31608429,-31648563
1587768458.471638747,1,-247681,-31557236,-31641436
1587768459.475089299,1,-248756,-31459686,-31629394
1587768460.478534671,1,-252109,-31534767,-31636152
1587768461.481993086,1,-248472,-31609989,-31644140
1587768462.485525968,1,-250021,-31568733,-31640945
1587768463.488887740,1,-250622,-31544968,-31636030
1587768464.492335487,1,-248851,-31488499,-31629148
1587768465.495786896,1,-251097,-31539640,-31634801
1587768466.499215831,1,-249674,-31636787,-31645983
1587768467.502689047,1,-250338,-31556237,-31638487
1587768468.506136489,1,-250686,-31470692,-31628288
1587768469.509577650,1,-249326,-31525110,-31632958
1587768470.513051469,1,-251603,-31572396,-31639102
1587768471.516486397,1,-249927,-31580668,-31641928
1587768472.519919231,1,-247649,-31556395,-31641191
1587768473.523376323,1,-248820,-31492109,-31639716
1587768474.526822991,1,-249389,-31540200,-31634063
1587768475.530272377,1,-251160,-31641343,-31649178
1587768476.533736860,1,-249642,-31562686,-31642911
1587768477.537182566,1,-249357,-31484888,-31635661
1587768478.540623033,1,-249484,-31531648,-31639224
1587768479.544070509,1,-251065,-31569083,-31645614
1587768480.547526153,1,-251793,-31603487,-31652618
1587768481.550966936,1,-250939,-31566332,-31648318
1587768482.554400426,1,-248598,-31477755,-31639347
1587768483.557867952,1,-247207,-31554116,-31649178
1587768484.561306309,1,-251666,-31649177,-31661834
1587768485.564776250,1,-250369,-31582596,-31655936
1587768486.568198734,1,-250053,-31535942,-31652004
1587768487.571666300,1,-248978,-31536590,-31652741
1587768488.575129664,1,-248946,-31571134,-31657657
1587768489.578549693,1,-251192,-31625728,-31666750
1587768490.582008033,1,-249452,-31581159,-31662940
1587768491.585441827,1,-247713,-31500644,-31653479
1587768492.588896284,1,-246637,-31570643,-31662940
1587768493.592355543,1,-250812,-31669893,-31675843
1587768494.595799473,1,-248061,-31591464,-31669576
1587768495.599268214,1,-248725,-31496753,-31659991
1587768496.602697118,1,-250686,-31570415,-31667979
1587768497.606156051,1,-249610,-31658274,-31681250
1587768498.609612959,1,-252109,-31607571,-31677809
1587768499.613042924,1,-250970,-31562336,-31672771
1587768500.616496290,1,-250148,-31559987,-31672648
1587768501.619936677,1,-249357,-31597283,-31681987
1587768502.623387482,1,-251318,-31641431,-31684813
1587768503.626823400,1,-247934,-31605590,-31684445
1587768504.630295014,1,-246669,-31513386,-31664661
1587768505.633743179,1,-250211,-31587328,-31678055
1587768506.637190382,1,-251002,-31685579,-31688131
1587768507.640637750,1,-250180,-31605906,-31681864
1587768508.644090447,1,-249357,-31527669,-31674368
1587768509.647524189,1,-251097,-31573307,-31679529
1587768510.650985358,1,-249610,-31611199,-31686411
1587768511.654430406,1,-251287,-31646689,-31692309
1587768512.657879227,1,-249199,-31609463,-31689728
1587768513.661317125,1,-250306,-31517329,-31678915
1587768514.664789623,1,-251034,-31594426,-31689114
1587768515.668232101,1,-249927,-31665529,-31696610
1587768516.671680405,1,-251413,-31633316,-31696733
1587768517.675126666,1,-252109,-31613004,-31693906
1587768518.678580616,1,-248788,-31530894,-31687148
1587768519.682004353,1,-251413,-31601962,-31694889
1587768520.685476550,1,-251192,-31678078,-31705826
1587768521.688905701,1,-252710,-31643394,-31707055
1587768522.692370204,1,-248820,-31621206,-31703860
1587768523.695818245,1,-250591,-31539236,-31694889
1587768524.699273545,1,-250749,-31610392,-31704105
1587768525.702718294,1,-252046,-31698759,-31716025
1587768526.706171657,1,-250717,-31644393,-31713936
1587768527.709619641,1,-249579,-31625710,-31716148
1587768528.713074051,1,-252457,-31570030,-31703245
1587768529.716514201,1,-251571,-31667492,-31759402
1587768530.719956313,1,-250844,-31703964,-31711355
1587768531.723414350,1,-252204,-31635665,-31714059
1587768532.726859022,1,-250591,-31545073,-31703737
1587768533.730311855,1,-250686,-31613179,-31714550
1587768534.733755832,1,-254323,-31674713,-31725118
1587768535.737212439,1,-252109,-31662690,-31726224
1587768536.740651664,1,-250401,-31639819,-31725978
1587768537.744115899,1,-251223,-31583297,-31718360
1587768538.747544999,1,-249389,-31636489,-31726716
1587768539.750999366,1,-251445,-31733986,-31741338
1587768540.754453382,1,-250875,-31657625,-31734949
1587768541.757904560,1,-251761,-31573220,-31728067
1587768542.761347584,1,-249674,-31630092,-31736177
1587768543.764797096,1,-248535,-31672785,-31743427
1587768544.768245139,1,-253026,-31698934,-31750186
1587768545.771699347,1,-249199,-31667475,-31747605
1587768546.775142902,1,-248661,-31581369,-31739741
1587768547.778604320,1,-250559,-31656959,-31751046
1587768548.782050179,1,-251635,-31751004,-31763580
1587768549.785486728,1,-253943,-31689768,-31761859
1587768550.788937964,1,-248567,-31662971,-31759279
1587768551.792385684,1,-249262,-31629408,-31757067
1587768552.795836974,1,-251635,-31675309,-31764686
1587768553.799296022,1,-253121,-31775435,-31779677
1587768554.802728576,1,-249958,-31701107,-31775745
1587768555.806180524,1,-250401,-31635963,-31768249
1587768556.809642783,1,-252077,-31664933,-31777220
1587768557.813084262,1,-252678,-31688769,-31776728
1587768558.816531221,1,-253564,-31770598,-31790736
1587768559.819986993,1,-253058,-31705611,-31782872
1587768560.823423534,1,-253248,-31612899,-31774393
1587768561.826894494,1,-251160,-31682863,-31782749
1587768562.830325568,1,-249863,-31734880,-31791965
1587768563.833775790,1,-253848,-31738666,-31793808
1587768564.837223977,1,-251635,-31713761,-31792703
1587768565.840681407,1,-252077,-31630004,-31784592
1587768566.844116140,1,-250116,-31701896,-31793440
1587768567.847571552,1,-252552,-31798342,-31807940
1587768568.851018520,1,-252963,-31732654,-31802164
1587768569.854469880,1,-252615,-31702597,-31800813
1587768570.857923676,1,-252552,-31674958,-31798232
1587768571.861362895,1,-249421,-31717582,-31805236
1587768572.864823746,1,-252995,-31813519,-31819122
1587768573.868279115,1,-254829,-31738227,-31813347
1587768574.871724501,1,-250781,-31653173,-31805359
1587768575.875158530,1,-252172,-31711781,-31812486
1587768576.878618768,1,-255809,-31761607,-31819613
1587768577.882068893,1,-254007,-31770283,-31824529
1587768578.885514018,1,-254260,-31744344,-31822194
1587768579.888965918,1,-252805,-31673258,-31815313
1587768580.892419722,1,-251192,-31736002,-31824283
1587768581.895859442,1,-250812,-31836636,-31837800
1587768582.899319738,1,-251034,-31759364,-31832762
1587768583.902782591,1,-253184,-31688611,-31825266
1587768584.906190851,1,-252995,-31726450,-31831533
1587768585.909662243,1,-251476,-31761502,-31837800
1587768586.913089960,1,-253437,-31810049,-31845541
1587768587.916534946,1,-251793,-31767724,-31842101
1587768588.919989818,1,-251888,-31673258,-31831410
1587768589.923444286,1,-254829,-31754124,-31846156
1587768590.926915833,1,-253659,-31828995,-31855249
1587768591.930324529,1,-251445,-31789719,-31851071
1587768592.933803749,1,-250369,-31769021,-31848736
1587768593.937250370,1,-254323,-31709975,-31849351
1587768594.940719385,1,-252805,-31759224,-31846770
1587768595.944133785,1,-254070,-31860296,-31860901
1587768596.947601548,1,-253216,-31787020,-31856232
1587768597.951044851,1,-253975,-31746184,-31853037
1587768598.954520583,1,-252488,-31734792,-31850948
1587768599.957918285,1,-251476,-31771229,-31857706
1587768600.961378533,1,-255209,-31867622,-31870732
1587768601.964835548,1,-250907,-31791629,-31863236
1587768602.968284226,1,-253943,-31731778,-31856601
1587768603.971742246,1,-251508,-31747043,-31858935
1587768604.975172104,1,-253659,-31779694,-31864588
1587768605.978650846,1,-255715,-31876210,-31878965
1587768606.982085067,1,-253532,-31800375,-31871961
1587768607.985534412,1,-252931,-31753370,-31868397
1587768608.988994757,1,-252583,-31750531,-31867291
1587768609.992434181,1,-252741,-31788072,-31873435
1587768610.995881713,1,-254291,-31885797,-31886092
1587768611.999336240,1,-252836,-31809296,-31880808
1587768613.002766583,1,-250717,-31761239,-31876139
1587768614.006225081,1,-253279,-31762115,-31877367
1587768615.009677233,1,-255240,-31796624,-31882037
1587768616.013115147,1,-255177,-31890897,-31895185
1587768617.016592761,1,-253406,-31816762,-31889778
1587768618.020030694,1,-250907,-31754527,-31894694
1587768619.023472430,1,-254449,-31773998,-31880194
1587768620.026913251,1,-250116,-31805352,-31887321
1587768621.030361056,1,-250749,-31878471,-31899363
1587768622.033831872,1,-254102,-31818882,-31893956
1587768623.037255538,1,-250781,-31727046,-31884126
1587768624.040719657,1,-251919,-31794171,-31892728
1587768625.044179732,1,-254639,-31836776,-31899977
1587768626.047602738,1,-257138,-31859701,-31905753
1587768627.051069179,1,-257233,-31825490,-31901821
1587768628.054514364,1,-254702,-31731988,-31891990
1587768629.057957596,1,-254228,-31808034,-31901329
1587768630.061427464,1,-255398,-31876105,-31910791
1587768631.064859916,1,-253722,-31856686,-31915829
1587768632.068312629,1,-251192,-31828995,-31906859
1587768633.071766705,1,-251951,-31745886,-31898380
1587768634.075204761,1,-251192,-31817936,-31908088
1587768635.078632914,1,-256221,-31907091,-31918287
1587768636.082092920,1,-255683,-31846959,-31914232
1587768637.085548297,1,-254702,-31822913,-31912634
1587768638.089015898,1,-253184,-31779396,-31906982
1587768639.092446717,1,-254070,-31825490,-31914109
1587768640.095903273,1,-252457,-31923233,-31926888
1587768641.099347973,1,-253279,-31845382,-31920253
1587768642.102795269,1,-253817,-31767864,-31911528
1587768643.106244876,1,-256221,-31812836,-31916075
1587768644.109711272,1,-253216,-31848028,-31922096
1587768645.113160993,1,-253216,-31888286,-31929715
1587768646.116593782,1,-254639,-31848484,-31925414
1587768647.120034988,1,-250749,-31758435,-31916198
