RocketLogger CSV File
File Version,3
Block Size,1
Block Count,849                 
Sample Count,849                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Sat Apr 25 00:10:58 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587773458.343804071,1,21285,-4977296,-74393386
1587773459.347219353,1,20874,-4946380,-74371268
1587773460.350661523,1,18913,-4910347,-74345340
1587773461.354133648,1,21285,-4950131,-74331823
1587773462.357558517,1,19324,-5032451,-74325679
1587773463.361007398,1,21032,-4959209,-74298891
1587773464.364459735,1,21349,-4860170,-74271611
1587773465.367901629,1,21001,-4939019,-74263747
1587773466.371341547,1,21349,-5023337,-74258340
1587773467.374809854,1,20147,-4965256,-74238679
1587773468.378257569,1,22582,-4926944,-74220124
1587773469.381710888,1,19641,-4906929,-74201569
1587773470.385149103,1,23657,-4942437,-74192230
1587773471.388599237,1,23373,-5014399,-74188052
1587773472.392056924,1,22772,-4950271,-74168514
1587773473.395493471,1,21760,-4852178,-74144061
1587773474.398956465,1,20779,-4932500,-74140497
1587773475.402393547,1,22551,-5023285,-74138040
1587773476.405846577,1,18217,-4955652,-74121451
1587773477.409298297,1,19925,-4908612,-74103879
1587773478.412744647,1,20590,-4904090,-74091222
1587773479.416192008,1,21507,-4937617,-74084095
1587773480.419643461,1,19166,-4997749,-74082375
1587773481.423092677,1,18629,-4942963,-74064680
1587773482.426554066,1,23278,-4848515,-74044528
1587773483.429980898,1,22392,-4927522,-74042684
1587773484.433448523,1,20305,-5024319,-74044650
1587773485.436886697,1,22614,-4947747,-74026956
1587773486.440337733,1,22582,-4896922,-74012579
1587773487.443778665,1,25018,-4898534,-74001765
1587773488.447226796,1,25555,-4929993,-73997096
1587773489.450683896,1,19514,-5003077,-73999307
1587773490.454128683,1,19925,-4937950,-73982227
1587773491.457585903,1,21285,-4839156,-73961214
1587773492.461036034,1,21950,-4917112,-73962320
1587773493.464482420,1,19008,-4987987,-73962689
1587773494.467928898,1,22392,-4952953,-73951753
1587773495.471378259,1,21570,-4930221,-73940939
1587773496.474831582,1,22709,-4859188,-73924104
1587773497.478278679,1,21032,-4921265,-73924842
1587773498.481730772,1,19925,-5021427,-73929020
1587773499.485176274,1,19830,-4938564,-73913537
1587773500.488621843,1,22424,-4882743,-73901003
1587773501.492078748,1,22203,-4892137,-73892155
1587773502.495524877,1,22266,-4923351,-73890435
1587773503.498972040,1,21412,-4994927,-73893384
1587773504.502420588,1,21380,-4931308,-73879744
1587773505.505875783,1,23531,-4832128,-73860944
1587773506.509325794,1,21665,-4911311,-73862664
1587773507.512772732,1,18913,-4986971,-73865244
1587773508.516216664,1,21412,-4944873,-73856028
1587773509.519664269,1,23151,-4920897,-73848778
1587773510.523114760,1,19641,-4862168,-73833173
1587773511.526565043,1,22898,-4915902,-73834033
1587773512.530014914,1,16699,-5014364,-73840914
1587773513.533460157,1,20463,-4929625,-73826414
1587773514.536909146,1,19989,-4841907,-73811054
1587773515.540360348,1,21444,-4899919,-73811300
1587773516.543812355,1,23120,-4948203,-73811546
1587773517.547262083,1,20969,-4951726,-73808842
1587773518.550704253,1,23215,-4923018,-73799995
1587773519.554159951,1,23942,-4849864,-73785249
1587773520.557603887,1,21633,-4912362,-73786847
1587773521.561060014,1,22456,-5012033,-73795080
1587773522.564508517,1,22329,-4927312,-73782177
1587773523.567944212,1,19451,-4840733,-73766203
1587773524.571407214,1,21886,-4895747,-73766448
1587773525.574851486,1,21950,-4938161,-73767186
1587773526.578284120,1,24385,-4954442,-73767554
1587773527.581759554,1,25555,-4920827,-73760059
1587773528.585201286,1,23847,-4840172,-73743224
1587773529.588630124,1,23120,-4909523,-73747279
1587773530.592092908,1,20052,-5010420,-73755881
1587773531.595541242,1,21349,-4924718,-73743470
1587773532.599003324,1,22044,-4837526,-73728724
1587773533.602444818,1,22645,-4895730,-73730076
1587773534.605886343,1,19577,-4953250,-73732779
1587773535.609340916,1,20811,-4940386,-73728478
1587773536.612793326,1,22993,-4913519,-73722703
1587773537.616248651,1,22551,-4858627,-73711889
1587773538.619694679,1,23626,-4908419,-73712258
1587773539.623149472,1,20590,-4996873,-73720245
1587773540.626602842,1,20337,-4920196,-73709677
1587773541.630039256,1,21570,-4820701,-73693088
1587773542.633500502,1,24417,-4902548,-73698741
1587773543.636939883,1,21159,-4994559,-73704885
1587773544.640389994,1,21538,-4927400,-73696652
1587773545.643830705,1,23088,-4874383,-73686330
1587773546.647270386,1,23151,-4880325,-73681783
1587773547.650734230,1,23784,-4915815,-73683872
1587773548.654185784,1,21412,-4958894,-73688173
1587773549.657642283,1,23025,-4916376,-73677728
1587773550.661087530,1,20874,-4834266,-73665440
1587773551.664530948,1,20052,-4904213,-73670724
1587773552.667991509,1,21222,-5004567,-73678834
1587773553.671425076,1,24448,-4918514,-73667898
1587773554.674880658,1,23404,-4825643,-73665440
1587773555.678349239,1,23025,-4894082,-73665072
1587773556.681787688,1,22171,-4963976,-73657576
1587773557.685223754,1,24511,-4929240,-73654504
1587773558.688673571,1,20937,-4894766,-73650080
1587773559.692131221,1,21918,-4869826,-73643322
1587773560.695576153,1,21159,-4908910,-73647254
1587773561.699004337,1,25840,-4957667,-73651555
1587773562.702469724,1,24258,-4913379,-73642830
