RocketLogger CSV File
File Version,3
Block Size,1
Block Count,503                 
Sample Count,503                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 01:29:09 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587691749.826860377,1,-2005236,-205191097,-13392532
1587691750.830257339,1,-1998562,-204986164,-13383193
1587691751.833710224,1,-1996823,-204816652,-13374960
1587691752.837140857,1,-1996443,-204648648,-13365990
1587691753.840586131,1,-1997424,-204648297,-13363655
1587691754.844101885,1,-1996917,-204758431,-13364884
1587691755.847496893,1,-1995874,-204540389,-13355053
1587691756.850937324,1,-1993375,-204337542,-13346943
1587691757.854379195,1,-1991920,-204254346,-13341045
1587691758.857831190,1,-1990465,-204247844,-13336867
1587691759.861172930,1,-1992110,-204339996,-13337604
1587691760.864630740,1,-1986512,-204142039,-13328388
1587691761.868167002,1,-1984677,-203872313,-13320401
1587691762.871615870,1,-1984171,-203892363,-13315363
1587691763.875067591,1,-1984298,-203918880,-13313028
1587691764.878539934,1,-1982495,-203938597,-13313151
1587691765.881968300,1,-1981356,-203785612,-13305778
1587691766.885438773,1,-1980914,-203522107,-13294842
1587691767.888854674,1,-1982432,-203551498,-13293490
1587691768.892311295,1,-1977909,-203566080,-13290295
1587691769.895747111,1,-1976138,-203578243,-13287960
1587691770.899238157,1,-1976707,-203415005,-13279236
1587691771.902623948,1,-1974461,-203158599,-13269897
1587691772.906105200,1,-1975695,-203189217,-13268668
1587691773.909560331,1,-1973829,-203197209,-13266210
1587691774.912994426,1,-1975189,-203244407,-13264982
1587691775.916440664,1,-1975220,-203074825,-13258100
1587691776.919921165,1,-1974493,-202832842,-13248147
1587691777.923354871,1,-1972753,-202840063,-13246918
1587691778.926790746,1,-1972627,-202835191,-13245566
1587691779.930184098,1,-1974019,-202949531,-13244461
1587691780.933717389,1,-1971330,-202755307,-13237456
1587691781.937123545,1,-1967155,-202567550,-13227503
1587691782.940602881,1,-1969085,-202477203,-13224062
1587691783.944038881,1,-1971425,-202497130,-13221728
1587691784.947455323,1,-1969875,-202632099,-13224677
1587691785.950935802,1,-1969116,-202448215,-13216075
1587691786.954389255,1,-1969116,-202339554,-13209685
1587691787.957846154,1,-1967946,-202111364,-13202558
1587691788.961281847,1,-1964182,-202166939,-13201329
1587691789.964721720,1,-1966396,-202192896,-13200469
1587691790.968176401,1,-1964309,-202225161,-13200223
1587691791.971616347,1,-1964467,-202057296,-13192851
1587691792.975099491,1,-1961304,-201837116,-13182283
1587691793.978537812,1,-1962917,-201771061,-13179211
1587691794.981940875,1,-1958900,-201793371,-13176999
1587691795.985422641,1,-1961620,-201909727,-13178842
1587691796.988887867,1,-1961589,-201773567,-13172698
1587691797.992327053,1,-1959976,-201656878,-13167291
1587691798.995773641,1,-1957509,-201406659,-13157830
1587691799.999253572,1,-1958552,-201460481,-13157215
1587691801.002632689,1,-1958015,-201457309,-13155372
1587691802.006118845,1,-1959564,-201584285,-13156847
1587691803.009566267,1,-1960830,-201401997,-13150457
1587691804.013013546,1,-1958173,-201275319,-13143575
1587691805.016429775,1,-1955042,-201106770,-13136203
1587691806.019948349,1,-1955358,-201143049,-13136325
1587691807.023371972,1,-1956813,-201228752,-13136203
1587691808.026804978,1,-1955326,-201135636,-13130673
1587691809.030273567,1,-1952701,-201015705,-13123914
1587691810.033735738,1,-1952069,-200780032,-13116664
1587691811.037179044,1,-1953144,-200819010,-13114944
1587691812.040616938,1,-1953049,-200881333,-13112855
1587691813.044060440,1,-1952954,-200840847,-13112609
1587691814.047482710,1,-1948748,-200706948,-13106465
1587691815.050961996,1,-1949601,-200455554,-13096881
1587691816.054398344,1,-1949254,-200511200,-13097004
1587691817.057855112,1,-1948241,-200576607,-13095775
1587691818.061308771,1,-1949475,-200535000,-13092580
1587691819.064737835,1,-1947261,-200408900,-13086190
1587691820.068204257,1,-1944351,-200170984,-13075991
1587691821.071635228,1,-1943877,-200227821,-13077343
1587691822.075094162,1,-1943624,-200306618,-13078080
1587691823.078543251,1,-1945996,-200235392,-13072919
1587691824.081992852,1,-1947419,-200119597,-13066160
1587691825.085445017,1,-1943750,-199875564,-13058911
1587691826.088893100,1,-1943940,-199931771,-13058173
1587691827.092334443,1,-1943054,-199986347,-13057313
1587691828.095780048,1,-1942928,-199961810,-13055716
1587691829.099242492,1,-1940809,-199831329,-13048343
1587691830.102691404,1,-1940081,-199590450,-13040478
1587691831.106133919,1,-1940018,-199629463,-13038635
1587691832.109579841,1,-1939354,-199628307,-13035563
1587691833.113039202,1,-1942106,-199726102,-13037652
1587691834.116460427,1,-1938500,-199553611,-13029419
1587691835.119928331,1,-1936381,-199369692,-13021309
1587691836.123383117,1,-1939702,-199316010,-13017500
1587691837.126831978,1,-1937614,-199329207,-13016148
1587691838.130276571,1,-1941378,-199464736,-13018851
1587691839.133729728,1,-1937330,-199283394,-13012339
1587691840.137174559,1,-1938437,-199144605,-13005826
1587691841.140617204,1,-1934135,-199004274,-12999436
1587691842.144066889,1,-1931795,-199033122,-12997716
1587691843.147518384,1,-1936507,-199165338,-12999313
1587691844.150959335,1,-1935875,-198983067,-12992555
1587691845.154473769,1,-1930277,-198841018,-12985182
1587691846.157860436,1,-1930941,-198700407,-12980144
1587691847.161315523,1,-1931384,-198733741,-12979530
1587691848.164766273,1,-1930625,-198862365,-12981496
1587691849.168221546,1,-1929897,-198688191,-12972157
1587691850.171638918,1,-1926133,-198516453,-12965767
1587691851.175114322,1,-1928727,-198433134,-12961097
1587691852.178562126,1,-1926608,-198451204,-12959869
1587691853.182018696,1,-1929454,-198577356,-12959991
1587691854.185460096,1,-1928664,-198384903,-12952004
1587691855.188909071,1,-1926861,-198173573,-12944017
1587691856.192363334,1,-1924330,-198148862,-12942174
1587691857.195812186,1,-1924267,-198156801,-12941559
1587691858.199236222,1,-1925785,-198257611,-12942297
1587691859.202719264,1,-1925279,-198092656,-12934432
1587691860.206185016,1,-1921642,-197853688,-12924356
1587691861.209598421,1,-1918353,-197884814,-12923250
1587691862.213045162,1,-1921642,-197909648,-12922636
1587691863.216499086,1,-1921642,-197956215,-12923742
1587691864.219948108,1,-1919523,-197798200,-12916369
1587691865.223392789,1,-1919871,-197554974,-12907767
1587691866.226840941,1,-1920029,-197593110,-12905924
1587691867.230289919,1,-1921136,-197615298,-12904695
1587691868.233753933,1,-1920092,-197669314,-12904081
1587691869.237184679,1,-1915380,-197520798,-12898674
1587691870.240629717,1,-1916803,-197292538,-12891670
1587691871.244088349,1,-1916645,-197327468,-12888966
1587691872.247539163,1,-1917277,-197336739,-12887123
1587691873.250992161,1,-1918890,-197451359,-12889827
1587691874.254437566,1,-1916012,-197274504,-12881225
1587691875.257884433,1,-1915063,-197093793,-12874712
1587691876.261326611,1,-1913608,-197018764,-12869920
1587691877.264764819,1,-1912090,-197039585,-12866848
1587691878.268233083,1,-1916044,-197164686,-12870534
1587691879.271687162,1,-1914494,-197004848,-12863284
1587691880.275141491,1,-1911363,-196891279,-12859475
1587691881.278573764,1,-1908548,-196664264,-12849030
