RocketLogger CSV File
File Version,3
Block Size,1
Block Count,423                 
Sample Count,423                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Thu Apr 23 22:26:31 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587680791.355931008,1,-928829,-99075447,-6809193
1587680792.359356343,1,-928924,-99046687,-6808579
1587680793.362786333,1,-928228,-98923899,-6804401
1587680794.366241901,1,-933541,-99028302,-6807841
1587680795.369714844,1,-929525,-99152544,-6810668
1587680796.373136220,1,-929809,-99100211,-6812019
1587680797.376581096,1,-928196,-99041920,-6807473
1587680798.380029280,1,-924749,-98902360,-6803541
1587680799.383482404,1,-925539,-99026549,-6806981
1587680800.386963397,1,-923895,-99163007,-6812142
1587680801.390395142,1,-925761,-99089748,-6808825
1587680802.393834160,1,-929335,-99174610,-6816443
1587680803.397278055,1,-922218,-98771212,-6794816
1587680804.400728057,1,-921333,-98914015,-6799731
1587680805.404178494,1,-925381,-99152632,-6814600
1587680806.407618960,1,-925951,-99111218,-6809193
1587680807.411074092,1,-924749,-98970641,-6803172
1587680808.414512344,1,-924654,-98945123,-6806613
1587680809.417955742,1,-926045,-98999454,-6807350
1587680810.421422890,1,-923673,-98990113,-6805875
1587680811.424873017,1,-927722,-99182268,-6813125
1587680812.428316471,1,-927690,-99067227,-6808333
1587680813.431760818,1,-923800,-98914540,-6801575
1587680814.435204236,1,-923990,-98908985,-6803664
1587680815.438663337,1,-929018,-99011232,-6806736
1587680816.442103995,1,-926140,-99112515,-6808579
1587680817.445559336,1,-927058,-99058885,-6807227
1587680818.449004351,1,-927785,-99026234,-6805630
1587680819.452453989,1,-924812,-98875352,-6801329
1587680820.455905669,1,-926045,-98940461,-6804401
1587680821.459347610,1,-926172,-98988237,-6804892
1587680822.462798707,1,-927374,-99142362,-6809808
1587680823.466241488,1,-926615,-99033770,-6805752
1587680824.469695703,1,-925761,-99001610,-6805138
1587680825.473145750,1,-926362,-98854584,-6800591
1587680826.476599816,1,-927089,-98941653,-6802926
1587680827.480053693,1,-925634,-98976565,-6804524
1587680828.483485269,1,-926868,-99143816,-6809808
1587680829.486947269,1,-923673,-99020853,-6807227
1587680830.490383651,1,-925729,-98986064,-6805507
1587680831.493830219,1,-926330,-98854794,-6801943
1587680832.497287413,1,-924306,-98963666,-6804524
1587680833.500728619,1,-927595,-99052576,-6806736
1587680834.504180433,1,-928576,-99066158,-6807227
1587680835.507635858,1,-922345,-99003064,-6805261
1587680836.511077384,1,-922440,-98870848,-6802312
1587680837.514519274,1,-924179,-98951433,-6803295
1587680838.517960234,1,-925792,-98958969,-6802066
1587680839.521430213,1,-928924,-99106538,-6808333
1587680840.524872408,1,-923958,-99001908,-6804401
1587680841.528315099,1,-921586,-98859088,-6800960
1587680842.531768852,1,-923610,-98931278,-6802312
1587680843.535227882,1,-924496,-98971886,-6803295
1587680844.538674374,1,-926204,-99113864,-6807964
1587680845.542120712,1,-927911,-99009216,-6805384
1587680846.545569226,1,-926172,-98928053,-6803049
1587680847.549007439,1,-924591,-98890915,-6800591
1587680848.552464885,1,-925698,-98967925,-6803418
1587680849.555911871,1,-925792,-99127167,-6808210
1587680850.559336712,1,-927026,-99007604,-6804524
1587680851.562813373,1,-925634,-98942056,-6802926
1587680852.566248189,1,-923484,-98905059,-6802066
1587680853.569688764,1,-925508,-98964717,-6803664
1587680854.573162940,1,-929683,-99125572,-6808579
1587680855.576598762,1,-923642,-99016437,-6806981
1587680856.580051999,1,-924749,-98984592,-6804769
1587680857.583495441,1,-925444,-98853497,-6800837
1587680858.586953918,1,-926109,-98965979,-6804278
1587680859.590407384,1,-926393,-99084385,-6807964
1587680860.593845468,1,-928544,-99046091,-6807227
1587680861.597280617,1,-924527,-99000453,-6806244
1587680862.600739725,1,-923831,-98847082,-6802312
1587680863.604188216,1,-924274,-98947104,-6804524
1587680864.607649616,1,-925887,-98986345,-6805015
1587680865.611087598,1,-927500,-99146673,-6811282
1587680866.614541166,1,-925634,-99018225,-6806858
1587680867.617994039,1,-924844,-98969116,-6804769
1587680868.621433758,1,-923389,-98894315,-6803172
1587680869.624859901,1,-925318,-99008322,-6806736
1587680870.628338756,1,-926931,-99065597,-6806736
