RocketLogger CSV File
File Version,3
Block Size,1
Block Count,728                 
Sample Count,728                 
Sample Rate,1
MAC Address,40:bd:32:e9:18:c6
Start Time,Fri Apr 24 00:09:59 2020
Comment,

,I1L_valid,I1H [nA],I1L [10pA],V1 [10nV]
1587686999.306962627,1,-19419,-8460426,-76311678
1587687000.310373390,1,-18217,-8402064,-76297424
1587687001.313824964,1,-17332,-8305443,-76274323
1587687002.317260777,1,-19071,-8386010,-76290297
1587687003.320712554,1,-17996,-8481668,-76313521
1587687004.324173546,1,-16921,-8411861,-76302831
1587687005.327625310,1,-14991,-8357197,-76290174
1587687006.331072323,1,-17332,-8361544,-76287471
1587687007.334500466,1,-17490,-8397350,-76295458
1587687008.337957781,1,-18091,-8458025,-76314505
1587687009.341425397,1,-16699,-8402590,-76301971
1587687010.344872427,1,-15529,-8305373,-76279975
1587687011.348330118,1,-17775,-8384906,-76295212
1587687012.351750810,1,-17806,-8468208,-76313890
1587687013.355208391,1,-17996,-8419450,-76308975
1587687014.358662115,1,-16003,-8395948,-76304305
1587687015.362087201,1,-15972,-8327000,-76284645
1587687016.365558560,1,-17363,-8389726,-76299513
1587687017.368995118,1,-17047,-8488888,-76323352
1587687018.372454428,1,-17901,-8413106,-76310327
1587687019.375897388,1,-16256,-8377475,-76304183
1587687020.379342747,1,-18818,-8346068,-76292140
1587687021.382790305,1,-18249,-8391759,-76303814
1587687022.386243291,1,-20305,-8491202,-76328636
1587687023.389693521,1,-18028,-8408198,-76312907
1587687024.393143320,1,-16952,-8335062,-76298899
1587687025.396576987,1,-16003,-8366521,-76300250
1587687026.400042375,1,-16225,-8398244,-76310449
1587687027.403495078,1,-18660,-8468488,-76330233
1587687028.406928323,1,-17458,-8405096,-76316716
1587687029.410373504,1,-16794,-8306810,-76295335
1587687030.413827347,1,-17870,-8381752,-76308115
1587687031.417265552,1,-15877,-8442199,-76322246
1587687032.420735645,1,-18692,-8431543,-76326547
1587687033.424174128,1,-17522,-8402397,-76319051
1587687034.427622664,1,-13062,-8316817,-76297301
1587687035.431073512,1,-16731,-8390076,-76313153
1587687036.434527249,1,-21222,-8486470,-76336500
1587687037.437969807,1,-17616,-8415121,-76325195
1587687038.441422010,1,-16035,-8375617,-76316102
1587687039.444858588,1,-17300,-8352062,-76305657
1587687040.448318841,1,-16794,-8393494,-76317331
1587687041.451766301,1,-15118,-8487907,-76339326
1587687042.455211856,1,-16763,-8407497,-76323721
1587687043.458660964,1,-15181,-8319148,-76303814
1587687044.462105060,1,-17806,-8374163,-76310941
1587687045.465545515,1,-18091,-8411090,-76321632
1587687046.469006974,1,-19008,-8452890,-76336500
1587687047.472459451,1,-16383,-8404833,-76324949
1587687048.475909119,1,-16731,-8308037,-76302216
1587687049.479345666,1,-16541,-8386799,-76315979
1587687050.482799789,1,-18123,-8466508,-76334165
1587687051.486261637,1,-15181,-8422868,-76330848
1587687052.489695456,1,-17522,-8398489,-76324335
1587687053.493152435,1,-18154,-8329489,-76304428
1587687054.496598119,1,-17838,-8391671,-76317945
1587687055.500044503,1,-16225,-8491850,-76341538
1587687056.503493726,1,-15719,-8413141,-76327653
1587687057.506956769,1,-15149,-8370517,-76317699
1587687058.510399287,1,-15434,-8351694,-76309589
1587687059.513830300,1,-16162,-8393354,-76318437
1587687060.517286301,1,-20305,-8492446,-76342521
1587687061.520747436,1,-18502,-8409968,-76327776
1587687062.524192991,1,-14960,-8350397,-76313644
1587687063.527640462,1,-17174,-8358810,-76309712
1587687064.531085181,1,-16320,-8393880,-76318682
1587687065.534527632,1,-16446,-8490045,-76343750
1587687066.537973783,1,-17237,-8408707,-76326793
1587687067.541424474,1,-12018,-8340776,-76310941
1587687068.544879848,1,-14802,-8361877,-76311555
1587687069.548342902,1,-13884,-8394370,-76318928
1587687070.551782979,1,-16763,-8487136,-76342767
1587687071.555205376,1,-16826,-8408198,-76325318
1587687072.558671841,1,-17174,-8334431,-76309344
1587687073.562135941,1,-17806,-8364366,-76309344
1587687074.565588184,1,-16225,-8394896,-76317945
1587687075.569003288,1,-18660,-8485611,-76341293
1587687076.572455949,1,-16478,-8407743,-76324212
1587687077.575922677,1,-14517,-8332135,-76308852
1587687078.579363349,1,-17332,-8364085,-76310327
1587687079.582828411,1,-12935,-8394896,-76317822
1587687080.586260571,1,-17363,-8486417,-76340187
1587687081.589728189,1,-17110,-8407725,-76323106
1587687082.593158920,1,-13536,-8334238,-76307500
1587687083.596610710,1,-15656,-8363332,-76308483
1587687084.600046207,1,-18281,-8394265,-76316348
1587687085.603496512,1,-19483,-8487732,-76338712
1587687086.606938081,1,-18882,-8408006,-76323475
1587687087.610424794,1,-15308,-8339268,-76308238
1587687088.613851066,1,-16320,-8360282,-76306886
1587687089.617282837,1,-14865,-8393231,-76315488
1587687090.620756992,1,-20906,-8490080,-76341170
1587687091.624192043,1,-18723,-8408339,-76324704
1587687092.627622173,1,-18660,-8340232,-76308115
1587687093.631092355,1,-15592,-8361947,-76307132
1587687094.634536571,1,-18312,-8394528,-76316716
1587687095.637969925,1,-19356,-8483911,-76339081
1587687096.641432542,1,-15750,-8406866,-76322860
1587687097.644878534,1,-18059,-8319937,-76302831
1587687098.648352583,1,-18534,-8370289,-76309221
1587687099.651781077,1,-16003,-8399768,-76316962
1587687100.655234538,1,-18882,-8472081,-76337237
1587687101.658673128,1,-16763,-8405552,-76322983
1587687102.662122908,1,-16320,-8312331,-76301356
1587687103.665576205,1,-17964,-8373514,-76309466
1587687104.669017422,1,-17332,-8403379,-76317945
1587687105.672498872,1,-18882,-8467840,-76335640
1587687106.675949910,1,-17300,-8405464,-76322123
1587687107.679373638,1,-17142,-8312821,-76301602
1587687108.682820853,1,-17585,-8371516,-76309835
1587687109.686257822,1,-16193,-8399172,-76316594
1587687110.689762694,1,-18597,-8477882,-76337115
1587687111.693177795,1,-17205,-8406463,-76322615
1587687112.696609748,1,-12493,-8329647,-76304920
1587687113.700066456,1,-20337,-8361526,-76308852
1587687114.703506237,1,-15213,-8392968,-76316348
1587687115.706979166,1,-19767,-8492043,-76339449
1587687116.710400148,1,-16889,-8411844,-76324089
1587687117.713860310,1,-16668,-8383416,-76317577
1587687118.717307528,1,-15181,-8329611,-76300496
1587687119.720753035,1,-16288,-8389621,-76314627
1587687120.724131826,1,-17870,-8469066,-76332322
1587687121.727698075,1,-17870,-8431823,-76330233
1587687122.731100395,1,-16573,-8403677,-76322860
1587687123.734543156,1,-13600,-8306197,-76299636
1587687124.737990405,1,-20495,-8375705,-76312661
1587687125.741448144,1,-16699,-8401118,-76321263
1587687126.744872219,1,-20083,-8479249,-76339941
1587687127.748341439,1,-14580,-8407042,-76323352
1587687128.751796984,1,-16952,-8342388,-76311801
1587687129.755248056,1,-19293,-8356146,-76308729
1587687130.758660085,1,-18976,-8392618,-76317331
1587687131.762129427,1,-17110,-8492516,-76339449
1587687132.765581454,1,-15213,-8413106,-76336500
1587687133.769021125,1,-16003,-8378159,-76348297
1587687134.772441230,1,-16035,-8342493,-76302585
1587687135.775956096,1,-16035,-8391216,-76311187
